dataset	method	trial	ml	score	time
yeast	weight_parents	1	DecisionTreeClassifier	0.485864038496	28.959877967834473
yeast	control	3	DecisionTreeClassifier	0.461603893183	29.170681476593018
yeast	weight_parents	6	DecisionTreeClassifier	0.475081448766	30.079220056533813
yeast	control	5	DecisionTreeClassifier	0.46967379599	25.350425720214844
yeast	control	9	DecisionTreeClassifier	0.460254365518	25.398679733276367
yeast	control	7	DecisionTreeClassifier	0.458878937826	25.424875736236572
seg	control	0	DecisionTreeClassifier	0.961471861472	25.755558490753174
seg	control	5	DecisionTreeClassifier	0.964935064935	26.548912048339844
seg	control	1	DecisionTreeClassifier	0.959307359307	26.074626445770264
yeast	control	6	DecisionTreeClassifier	0.464968170231	31.820435285568237
seg	weight_parents	6	DecisionTreeClassifier	0.960606060606	27.560643196105957
seg	weight_parents	7	DecisionTreeClassifier	0.962770562771	26.976741790771484
seg	weight_parents	1	DecisionTreeClassifier	0.960173160173	28.406450748443604
seg	weight_parents	3	DecisionTreeClassifier	0.961038961039	29.26837658882141
seg	weight_parents	0	DecisionTreeClassifier	0.963636363636	28.931363582611084
seg	weight_parents	5	DecisionTreeClassifier	0.964935064935	29.02312469482422
seg	control	3	DecisionTreeClassifier	0.953246753247	29.438402891159058
seg	weight_parents	8	DecisionTreeClassifier	0.962337662338	30.045878648757935
seg	weight_parents	2	DecisionTreeClassifier	0.956277056277	30.473430156707764
seg	weight_parents	9	DecisionTreeClassifier	0.965367965368	30.607919454574585
seg	control	6	DecisionTreeClassifier	0.966233766234	31.087066650390625
seg	control	2	DecisionTreeClassifier	0.960173160173	31.88241457939148
seg	weight_parents	4	DecisionTreeClassifier	0.951082251082	32.00469899177551
seg	control	7	DecisionTreeClassifier	0.958874458874	26.712005853652954
seg	control	4	DecisionTreeClassifier	0.957142857143	32.28643774986267
seg	control	9	DecisionTreeClassifier	0.962770562771	27.489569664001465
seg	control	8	DecisionTreeClassifier	0.957142857143	29.947391271591187
uball5d	control	8	DecisionTreeRegressor	0.838587367369	98.06332397460938
uball5d	weight_parents	7	DecisionTreeRegressor	0.815925276309	98.87714958190918
uball5d	weight_parents	1	DecisionTreeRegressor	0.833798932592	103.94716262817383
uball5d	weight_parents	4	DecisionTreeRegressor	0.80336905541	104.9336588382721
uball5d	control	9	DecisionTreeRegressor	0.840983314482	105.95426845550537
uball5d	weight_parents	0	DecisionTreeRegressor	0.84429458288	110.52927732467651
uball5d	weight_parents	2	DecisionTreeRegressor	0.807154274501	112.78528690338135
uball5d	control	0	DecisionTreeRegressor	0.800906158809	111.92539572715759
uball5d	control	3	DecisionTreeRegressor	0.83085810556	113.11314702033997
uball5d	weight_parents	5	DecisionTreeRegressor	0.81783260785	118.60668706893921
uball5d	control	2	DecisionTreeRegressor	0.84591304932	116.91790580749512
uball5d	weight_parents	6	DecisionTreeRegressor	0.829662902663	118.82392716407776
uball5d	weight_parents	8	DecisionTreeRegressor	0.823286816255	120.07706713676453
housing	weight_parents	6	LassoLarsCV	0.217236481818	123.91910076141357
housing	weight_parents	2	LassoLarsCV	-6.56547030304	129.14407563209534
housing	weight_parents	5	LassoLarsCV	0.237114910367	125.48645067214966
housing	control	5	LassoLarsCV	-1.27310192951	125.6340901851654
housing	weight_parents	4	LassoLarsCV	0.349000801503	130.31911420822144
uball5d	control	4	DecisionTreeRegressor	0.837737646836	121.55181455612183
uball5d	control	7	DecisionTreeRegressor	0.84827475857	122.27837538719177
uball5d	control	1	DecisionTreeRegressor	0.841592372002	122.03234386444092
uball5d	control	5	DecisionTreeRegressor	0.828475156808	123.39678287506104
