dataset	method	max_stall	trial	ml	score	time
heart	stall	100	7	DecisionTreeClassifier	0.748148148148	6.97145676612854
bc_clean	stall	0	9	DecisionTreeClassifier	0.919140443702	0.08772873878479004
bc_clean	stall	10	5	DecisionTreeClassifier	0.90328599276	1.0672743320465088
bc_clean	stall	10	8	DecisionTreeClassifier	0.917321080479	1.1868610382080078
bc_clean	stall	10	1	DecisionTreeClassifier	0.899740090968	1.2274281978607178
bc_clean	stall	10	6	DecisionTreeClassifier	0.919186856029	1.2945845127105713
bc_clean	stall	10	9	DecisionTreeClassifier	0.922677063028	1.2977471351623535
bc_clean	stall	10	7	DecisionTreeClassifier	0.873442866425	1.4395716190338135
bc_clean	stall	10	4	DecisionTreeClassifier	0.901494476933	1.4224512577056885
bc_clean	stall	10	3	DecisionTreeClassifier	0.899823633157	1.7059919834136963
bc_clean	stall	10	0	DecisionTreeClassifier	0.899795785761	2.040517807006836
yacht	stall	100	7	LassoLarsCV	0.902837097787	21.72141408920288
uball5d	stall	100	0	LassoLarsCV	0.730498251978	49.44381070137024
heart	stall	100	5	LogisticRegression	0.837037037037	12.575420618057251
yeast	stall	0	6	LogisticRegression	0.56469553838	0.8766810894012451
bc_clean	stall	0	1	DecisionTreeClassifier	0.920904112132	0.0784461498260498
yeast	stall	0	7	LogisticRegression	0.56469553838	0.9130830764770508
yeast	stall	0	4	LogisticRegression	0.56469553838	0.9572136402130127
