dataset	method	trial	ml	score	time
yacht	control	3	DecisionTreeRegressor	0.987233885727	7.930560350418091
yacht	control	15	DecisionTreeRegressor	0.985344499217	7.9922919273376465
yacht	control	8	DecisionTreeRegressor	0.986125717663	8.141024589538574
yacht	control	18	DecisionTreeRegressor	0.987325578396	8.24345874786377
yacht	control	2	DecisionTreeRegressor	0.988548255346	8.254945278167725
yacht	control	1	DecisionTreeRegressor	0.986409557213	8.258041620254517
yacht	control	13	DecisionTreeRegressor	0.980280523172	8.350481033325195
housing	control	14	LassoLarsCV	0.224529563807	28.851320505142212
yacht	control	4	DecisionTreeRegressor	0.988048771582	8.437653064727783
yacht	control	6	DecisionTreeRegressor	0.988483311613	9.003528118133545
heart	lex_size	17	LogisticRegression	0.785185185185	10.918308973312378
heart	lex_size	18	LogisticRegression	0.822222222222	11.447449684143066
yacht	control	17	LassoLarsCV	0.935698958142	17.514305353164673
heart	lex_size	8	LogisticRegression	0.818518518519	11.677199602127075
heart	lex_size	13	LogisticRegression	0.82962962963	11.811827182769775
heart	lex_size	12	LogisticRegression	0.825925925926	11.323796272277832
yacht	control	7	LassoLarsCV	-2140.0115954	17.674570083618164
yacht	control	18	LassoLarsCV	0.900029721188	17.696971654891968
heart	lex_size	6	LogisticRegression	0.837037037037	11.534276485443115
heart	lex_size	4	LogisticRegression	0.796296296296	11.670896053314209
heart	lex_size	14	LogisticRegression	0.818518518519	11.654093265533447
yacht	lex_size	19	LassoLarsCV	0.967741836651	23.079068660736084
heart	lex_size	11	LogisticRegression	0.833333333333	11.587926864624023
heart	lex_size	19	LogisticRegression	0.822222222222	11.814306735992432
heart	lex_size	9	LogisticRegression	0.822222222222	11.886820554733276
yacht	lex_size	11	LassoLarsCV	0.942358961931	22.998886346817017
yacht	lex_size	18	LassoLarsCV	-409207827448.0	23.13308596611023
heart	lex_size	16	LogisticRegression	0.822222222222	12.13942551612854
yacht	control	15	LassoLarsCV	0.948998846412	18.394209146499634
yacht	lex_size	5	LassoLarsCV	0.833269628571	23.875289916992188
heart	lex_size	0	LogisticRegression	0.818518518519	12.470544815063477
heart	lex_size	1	LogisticRegression	0.833333333333	12.508926630020142
yacht	lex_size	16	LassoLarsCV	0.967172031384	23.57649326324463
yacht	control	11	LassoLarsCV	0.962854003136	18.74589967727661
heart	lex_size	7	LogisticRegression	0.833333333333	12.519002199172974
yacht	lex_size	7	LassoLarsCV	0.941317788267	23.630833625793457
heart	lex_size	10	LogisticRegression	0.803703703704	12.53260850906372
yacht	lex_size	10	LassoLarsCV	0.976554106657	23.718966960906982
yacht	control	19	LassoLarsCV	0.956593877445	19.217160940170288
608032
heart	lex_size	5	LogisticRegression	0.811111111111	12.600028276443481
heart	lex_size	15	LogisticRegression	0.803703703704	12.886417865753174
yacht	control	0	LassoLarsCV	0.937227860263	19.169906616210938
heart	lex_size	2	LogisticRegression	0.82962962963	12.56952428817749
yacht	lex_size	12	LassoLarsCV	0.921946326561	24.660313367843628
yacht	lex_size	14	LassoLarsCV	0.839718497741	23.18811321258545
yacht	control	5	LassoLarsCV	0.939107741398	19.820531129837036
yacht	control	10	LassoLarsCV	0.430855004939	19.623265504837036
yacht	lex_size	8	LassoLarsCV	0.939781658265	24.545161247253418
yacht	control	16	LassoLarsCV	0.964401693062	19.852703094482422
yacht	lex_size	0	LassoLarsCV	0.932208851359	24.600916624069214
yacht	control	12	LassoLarsCV	0.891922183096	20.440149545669556
yacht	control	6	LassoLarsCV	0.942260368115	20.3560733795166
yacht	lex_size	3	LassoLarsCV	0.921730658225	25.182040691375732
yacht	lex_size	17	LassoLarsCV	0.945741716521	25.63337540626526
yacht	lex_size	2	LassoLarsCV	-7.26578235669	25.40495800971985
yacht	lex_size	6	LassoLarsCV	0.979989113667	25.538617610931396
yacht	control	8	LassoLarsCV	0.955121109516	20.891327619552612
yacht	control	1	LassoLarsCV	0.954005327086	20.726730823516846
yacht	lex_size	9	LassoLarsCV	0.0836705963903	25.30245542526245
yacht	lex_size	15	LassoLarsCV	0.928397943503	25.657044649124146
heart	lex_size	13	DecisionTreeClassifier	0.725925925926	5.881359338760376
heart	lex_size	8	DecisionTreeClassifier	0.774074074074	5.964092254638672
heart	lex_size	18	DecisionTreeClassifier	0.759259259259	6.064248561859131
heart	lex_size	17	DecisionTreeClassifier	0.777777777778	6.113494396209717
yacht	lex_size	1	LassoLarsCV	0.943972640681	25.891978979110718
yacht	control	13	LassoLarsCV	0.966210307128	21.37755846977234
heart	lex_size	19	DecisionTreeClassifier	0.722222222222	5.975229501724243
heart	lex_size	11	DecisionTreeClassifier	0.751851851852	5.846299171447754
yacht	lex_size	4	LassoLarsCV	0.961057988763	26.314380884170532
heart	control	13	LogisticRegression	0.822222222222	11.797372341156006
yacht	control	2	LassoLarsCV	0.962020517785	21.65254282951355
heart	lex_size	12	DecisionTreeClassifier	0.759259259259	6.1382341384887695
yacht	control	4	LassoLarsCV	0.9761346933	21.606817483901978
yacht	control	9	LassoLarsCV	0.905235220825	21.744142532348633
heart	lex_size	14	DecisionTreeClassifier	0.725925925926	6.1367573738098145
heart	lex_size	6	DecisionTreeClassifier	0.759259259259	6.1713550090789795
heart	control	17	LogisticRegression	0.844444444444	12.118348598480225
78
heart	control	8	LogisticRegression	0.851851851852	12.224406480789185
heart	lex_size	9	DecisionTreeClassifier	0.788888888889	6.2980663776397705
yacht	control	3	LassoLarsCV	0.0679696131241	22.007984161376953
heart	lex_size	4	DecisionTreeClassifier	0.755555555556	6.425655841827393
heart	lex_size	7	DecisionTreeClassifier	0.72962962963	6.399816274642944
heart	control	4	LogisticRegression	0.855555555556	11.953083038330078
heart	control	16	LogisticRegression	0.851851851852	11.903831958770752
heart	control	19	LogisticRegression	0.807407407407	11.934705257415771
heart	control	11	LogisticRegression	0.814814814815	11.944575548171997
heart	lex_size	10	DecisionTreeClassifier	0.707407407407	6.6109302043914795
heart	lex_size	15	DecisionTreeClassifier	0.722222222222	6.641207456588745
heart	control	18	LogisticRegression	0.82962962963	12.561518430709839
heart	control	6	LogisticRegression	0.818518518519	12.16843557357788
heart	control	12	LogisticRegression	0.844444444444	12.235204458236694
heart	control	9	LogisticRegression	0.844444444444	12.225274562835693
heart	lex_size	3	DecisionTreeClassifier	0.711111111111	6.869969844818115
heart	lex_size	5	DecisionTreeClassifier	0.748148148148	6.867321729660034
heart	lex_size	1	DecisionTreeClassifier	0.725925925926	6.891993045806885
heart	lex_size	0	DecisionTreeClassifier	0.72962962963	6.8742523193359375
heart	control	14	LogisticRegression	0.818518518519	12.487932443618774
heart	lex_size	2	DecisionTreeClassifier	0.688888888889	7.055038928985596
uball5d	lex_size	10	LassoLarsCV	0.795551539149	47.1561541557312
uball5d	lex_size	16	LassoLarsCV	0.780568873871	47.66623139381409
uball5d	lex_size	19	LassoLarsCV	0.786524799035	47.706607818603516
heart	control	7	LogisticRegression	0.848148148148	13.357281923294067

heart	control	1	LogisticRegression	0.840740740741	13.286157369613647
heart	control	5	LogisticRegression	0.837037037037	13.525056600570679
heart	control	2	LogisticRegression	0.822222222222	13.682157754898071
uball5d	lex_size	12	LassoLarsCV	0.712103475608	48.95752716064453
heart	control	10	LogisticRegression	0.822222222222	13.732962846755981
uball5d	lex_size	11	LassoLarsCV	0.806235170983	48.781808376312256
uball5d	lex_size	13	LassoLarsCV	0.785175173189	49.111377477645874
uball5d	lex_size	14	LassoLarsCV	0.774727522851	49.211854457855225
yacht	lex_size	13	LassoLarsCV	0.965670639212	25.54352355003357
uball5d	lex_size	17	LassoLarsCV	0.764064526128	49.71347784996033
heart	control	18	DecisionTreeClassifier	0.759259259259	6.374640226364136
heart	control	8	DecisionTreeClassifier	0.748148148148	6.3709681034088135
heart	control	7	DecisionTreeClassifier	0.762962962963	6.4868175983428955
heart	control	16	DecisionTreeClassifier	0.803703703704	6.193621873855591
heart	control	14	DecisionTreeClassifier	0.77037037037	6.174945592880249
heart	control	11	DecisionTreeClassifier	0.8	6.290542125701904
uball5d	control	0	LassoLarsCV	0.767854785292	46.32388401031494
heart	control	15	DecisionTreeClassifier	0.696296296296	6.6229400634765625
uball5d	control	12	LassoLarsCV	0.616404924825	46.32207751274109
heart	control	12	DecisionTreeClassifier	0.818518518519	6.372591257095337
heart	control	13	DecisionTreeClassifier	0.781481481481	6.6125328540802
uball5d	lex_size	1	LassoLarsCV	0.76784246688	51.06000876426697
heart	control	9	DecisionTreeClassifier	0.788888888889	6.7435102462768555
heart	control	10	DecisionTreeClassifier	0.755555555556	6.83655309677124
heart	control	1	DecisionTreeClassifier	0.785185185185	6.800714731216431
heart	control	4	DecisionTreeClassifier	0.766666666667	6.824239253997803
uball5d	lex_size	3	LassoLarsCV	0.787968435926	51.22866463661194
heart	control	5	DecisionTreeClassifier	0.766666666667	6.907361268997192
